label,value,country
부쿠레슈티 헨리 코언다 국제공항 ,OTP,루마니아
부에나벤투라 공항,BUN,콜롬비아
버펄로 나이아가라 국제공항,BUF,미국
부굴마 공항,UUA,러시아
부줌부라 국제공항,BJM,부룬디
부하라한국 공항,BHK,우즈베키스탄
부코바 공항,BKZ,탄자니아
번다버그 공항,BDB,오스트레일리아
부르가스 국제공항 ,BOJ,불가리아
부르고스 공항,RGS,스페인
부리람 공항,BFV,태국
벌링턴 국제공항,BTV,미국
버니 윈야드 공항,BWT,오스트레일리아
부쉐르 공항,BUZ,이란
부수앙가 공항,USU,필리핀
부트미르 공항,SJJ,보스니아 헤르체고비나
부투안 공항,BXU,필리핀
비드고슈치 이그냐시 잔 파데레프스키 공항,BZG,폴란드
카마우 공항,CAH,베트남
카빈다 공항,CAB,앙골라
캐드훈 공항,COO,베냉
카오르 공항,ZAO,프랑스
케언스 국제공항,CNS,오스트레일리아
카이로 국제공항,CAI,이집트
칼레덩케르크 공항,CQF,프랑스
칼라판 공항,CPP,필리핀
칼바욕 공항,CYP,필리핀
캘거리 국제공항,YYC,캐나다
칼리컷 국제공항 ,CCJ,인도
캄 라흐 공항,CXR,베트남
케임브리지 공항,CBG,영국
카밀로 다조 공항,CUC,콜롬비아
캄페체 국제공항,CPE,멕시코
캄푸그란데 국제공항,CGR,브라질
차나칼레 공항,CKZ,터키
캔버라 국제공항,CBR,오스트레일리아
캔쿤 국제공항,CUN,멕시코
Cangyuan Washan 공항,CWJ,홍콩
캐노 공항 ,PSO,콜롬비아
캡스컬링 공항,CSK,세네갈
케이프타운 국제공항,CPT,남아프리카
카피탄 카를로스 로비로사 공항,VSA,멕시코
캡튼 코르베타 CA 쿠르벨로 국제공항,PDP,우루과이
카피탄 FAP 카를로스 마르티네즈 데 피닐로스 공항,TRU,페루
카피탄 FAP 길레르모 콘챠 이베리코 공항,PIU,페루
카피탄 FAP 페드로 캉가 로드리게즈 공항,TBP,페루
카피탄 FAP 레난 엘리아스 올리베라 공항,PIO,페루
카피탄 FAP 빅토르 몬테즈 아리아스 공항,TYL,페루
카피탄 롤덴 공항,PCL,페루
카피탄 빈센트 알만도스 아모나시드 공항,IRJ,아르헨티나
카피톨리오 공항 ,FLA,콜롬비아
카퍼가나 공항,CPB,콜롬비아
카라쟈스 공항,CKS,브라질
차르닥 공항,DNZ,터키
카디프 국제공항,CWL,영국
칼라일 공항,CAX,영국
카나번 공항,CVQ,오스트레일리아
카르피께 공항,CFR,프랑스
체러스코 공항,MVD,우루과이
